Order ID;Item ID;Product code;Quantity
"42363";"2816000254";"2001459883358";"3"
"42378";"4187829315";"2001459888506";"1"
"42431";"2816000254";"2001459883358";"4"
"42431";"1238802898";"2001459883372";"6"
"42431";"1781149878";"2001459883365";"1"
"42521";"877063610";"2001459884195";"2"
"42542";"3847396382";"2001459853290";"1"
"42590";"528687030";"2001459893241";"2"
"42638";"2162625244";"2001459834725";"1"
"42638";"1734289371";"2001459834749";"1"
"42639";"1168912276";"2001459884911";"1"
"42639";"3654047992";"2001459885192";"1"
"42648";"1708997482";"2001459886823";"1"
"42648";"3224993888";"2001459886670";"1"
"42652";"775414092";"2001459894330";"1"
"42661";"460081111";"2001459886779";"1"
"42661";"2608736044";"2001459886649";"1"
