Order ID;Item ID;Product code;Quantity
"42363";"2816000254";"2001459883358";"3"
"42639";"1168912276";"2001459884911";"1"
"42639";"3654047992";"2001459885192";"1"
"42665";"4187829315";"2001459888506";"1"
"42693";"2162625244";"2001459834725";"2"
"42710";"3531535900";"2001459882153";"3"
"42710";"3414327152";"2001459885550";"1"
"42710";"1384853194";"2001459886250";"1"
"42710";"3959044730";"2001459885079";"2"
"42710";"1820696216";"2001459885116";"1"
"42710";"2021895955";"2001459882207";"1"
"42710";"3944010659";"2001459886731";"1"
"42710";"1583158723";"2001459886595";"2"
"42713";"2054543340";"2001459814611";"1"
"42713";"3693521606";"2001459882313";"1"
"42735";"3959044730";"2001459885079";"3"
"42735";"1973333977";"2001459885123";"1"
"42735";"43622223";"2001459885130";"3"
"42735";"187683684";"2001459885062";"7"
"42735";"2246458285";"2001459885093";"3"
"42741";"1070027024";"2001459819975";"6"
"42741";"1168912276";"2001459884911";"4"
"42741";"3438263145";"2001459884935";"2"
"42741";"3654047992";"2001459885192";"4"
"42741";"2846272631";"2001459885215";"2"
"42758";"1029444830";"2001459887288";"1"
"42763";"1856525798";"2001459887684";"1"
"42763";"3116712065";"2001459887691";"2"
"42790";"2014274073";"2001459889015";"1"
"42791";"219956312";"2001459849354";"1"
"42791";"3936643423";"2001459849361";"1"
"42791";"4251242540";"2001459854051";"1"
