Product id;Language;Store;Product code;Product name;Центральный склад (Warehouse)
"4692";"ru";"sww";"2001459870037";"Шапка 568-FLIS-80";"1"
"4693";"ru";"sww";"2001459874295";"Шапка 568-FLIS-900";"104"
"4690";"ru";"sww";"2001459870020";"Шапка 568-FLIS-75";"0"
"4691";"ru";"sww";"568-FLIS-75|55-56-57";"Шапка 568-FLIS-75";"0"
"10479";"ru";"sww";"2001459882726";"Шапка 568-FLIS-08";"69"
"4689";"ru";"sww";"2001459870013";"Шапка 568-FLIS-71";"0"
"4649";"ru";"sww";"2001459831373";"Комбинезон 830-FAS-75";"0"
"4650";"ru";"sww";"2001459831335";"Комбинезон 830-FAS-75";"0"
"4651";"ru";"sww";"2001459831342";"Комбинезон 830-FAS-75";"0"
"4652";"ru";"sww";"2001459831359";"Комбинезон 830-FAS-75";"0"
"4653";"ru";"sww";"2001459879245";"Комбинезон 830-FAS-75";"0"
"4654";"ru";"sww";"2001459831366";"Комбинезон 830-FAS-75";"0"
"4655";"ru";"sww";"2001459831380";"Комбинезон 830-FAS-75";"0"
"4656";"ru";"sww";"2001459831397";"Комбинезон 830-FAS-75";"1"
"4657";"ru";"sww";"2001459831403";"Комбинезон 830-FAS-75";"0"
"4658";"ru";"sww";"2001459831410";"Комбинезон 830-FAS-75";"0"
"4659";"ru";"sww";"2001459831427";"Комбинезон 830-FAS-75";"0"
"4660";"ru";"sww";"2001459831434";"Комбинезон 830-FAS-75";"0"
"4661";"ru";"sww";"2001459872840";"Комбинезон 830-FAS-75";"9"
"4662";"ru";"sww";"2001459831441";"Комбинезон 830-FAS-75";"12"
"4663";"ru";"sww";"2001459831458";"Комбинезон 830-FAS-75";"5"
"4664";"ru";"sww";"2001459831465";"Комбинезон 830-FAS-75";"0"
"4665";"ru";"sww";"2001459872857";"Комбинезон 830-FAS-75";"3"
"4666";"ru";"sww";"2001459831472";"Комбинезон 830-FAS-75";"4"
"4667";"ru";"sww";"2001459831489";"Комбинезон 830-FAS-75";"2"
"4668";"ru";"sww";"2001459872864";"Комбинезон 830-FAS-75";"5"
"4669";"ru";"sww";"2001459831496";"Комбинезон 830-FAS-75";"7"
"4670";"ru";"sww";"2001459831502";"Комбинезон 830-FAS-75";"4"
"4671";"ru";"sww";"CA5150-TEREDO-00/82";"Колпак повара CA5150";"0"
"4672";"ru";"sww";"2001459820490";"Шапка 567KC-TASLAN-15";"18"
"4673";"ru";"sww";"2001459820506";"Шапка 567KC-TASLAN-15";"16"
"4674";"ru";"sww";"2001459820513";"Шапка 567KC-TASLAN-15";"23"
"4675";"ru";"sww";"567KC-TASLAN-57|58";"Шапка 567KC-TASLAN-57";"0"
"4676";"ru";"sww";"2001459820681";"Шапка 567KC-TASLAN-57";"0"
"4677";"ru";"sww";"567KC-TASLAN-57|62";"Шапка 567KC-TASLAN-57";"0"
"4678";"ru";"sww";"2001459820520";"Шапка 567KC-TASLAN-90";"11"
"4679";"ru";"sww";"2001459820537";"Шапка 567KC-TASLAN-90";"19"
"4680";"ru";"sww";"2001459820544";"Шапка 567KC-TASLAN-90";"28"
"4681";"ru";"sww";"2001459819937";"Шапка 568-FLIS-14";"0"
"4682";"ru";"sww";"2001459819968";"Шапка 568-FLIS-14";"134"
"10482";"ru";"sww";"2001459882757";"Шапка 568-FLIS-70";"84"
"10483";"ru";"sww";"2001459882764";"Шапка 568-FLIS-83";"69"
"4684";"ru";"sww";"2001459819951";"Шапка 568-FLIS-15";"2"
"4685";"ru";"sww";"2001459819975";"Шапка 568-FLIS-55";"79"
"4686";"ru";"sww";"2001459819944";"Шапка 568-FLIS-57";"15"
"10480";"ru";"sww";"2001459882733";"Шапка 568-FLIS-25";"65"
"10481";"ru";"sww";"2001459882740";"Шапка 568-FLIS-27";"40"
"61";"ru";"sww";"2000194530022";"Брюки 207M-TASLAN-90";"17"
"60";"ru";"sww";"2000194520023";"Брюки 207M-TASLAN-90";"16"
"62";"ru";"sww";"2000194540021";"Брюки 207M-TASLAN-90";"37"
"63";"ru";"sww";"2000194550020";"Брюки 207M-TASLAN-90";"28"
"64";"ru";"sww";"2000194560029";"Брюки 207M-TASLAN-90";"9"
"65";"ru";"sww";"2000194470021";"Куртка 428MD-TASLAN-90";"10"
"66";"ru";"sww";"2000194480020";"Куртка 428MD-TASLAN-90";"60"
"67";"ru";"sww";"2000194490029";"Куртка 428MD-TASLAN-90";"186"
"68";"ru";"sww";"2000194500025";"Куртка 428MD-TASLAN-90";"32"
"69";"ru";"sww";"2000183830010";"Куртка демисезонная 442M-TASLAN-90";"12"
"70";"ru";"sww";"2000183840019";"Куртка демисезонная 442M-TASLAN-90";"8"
"71";"ru";"sww";"2000183850018";"Куртка демисезонная 442M-TASLAN-90";"40"
"72";"ru";"sww";"2000183860017";"Куртка демисезонная 442M-TASLAN-90";"45"
"73";"ru";"sww";"2000183890021";"Куртка для ночников серая 409M-TOMBOY-55";"11"
